Date,Type,Comments
20170908,WORKDAY,
20170909,WEEKEND,
20170910,WEEKEND,教师节
20170911,WORKDAY,
20170912,WORKDAY,
20170913,WORKDAY,
20170914,WORKDAY,
20170915,WORKDAY,
20170916,WEEKEND,
20170917,WEEKEND,
20170918,WORKDAY,
20170919,WORKDAY,
20170920,WORKDAY,
20170921,WORKDAY,
20170922,WORKDAY,
20170923,WEEKEND,
20170924,WEEKEND,
20170925,WORKDAY,
20170926,WORKDAY,
20170927,WORKDAY,
20170928,WORKDAY,
20170929,WORKDAY,
20170930,WORKDAY,
20171001,HOLIDAY,国庆节
20171002,HOLIDAY,国庆节
20171003,HOLIDAY,国庆节
20171004,HOLIDAY,国庆节
20171005,HOLIDAY,国庆节
20171006,HOLIDAY,国庆节
20171007,HOLIDAY,国庆节
20171008,HOLIDAY,国庆节
20171009,WORKDAY,
20171010,WORKDAY,
20171011,WORKDAY,
20171012,WORKDAY,
20171013,WORKDAY,
20171014,WEEKEND,
20171015,WEEKEND,
20171016,WORKDAY,
20171017,WORKDAY,
20171018,WORKDAY,
20171019,WORKDAY,
20171020,WORKDAY,
20171021,WEEKEND,
20171022,WEEKEND,
20171023,WORKDAY,霜降
20171024,WORKDAY,
20171025,WORKDAY,
20171026,WORKDAY,
20171027,WORKDAY,
20171028,WEEKEND,重阳节
20171029,WEEKEND,
20171030,WORKDAY,
20171031,WORKDAY,
20171101,WORKDAY,
20171102,WORKDAY,
20171103,WORKDAY,
20171104,WEEKEND,
20171105,WEEKEND,
20171106,WORKDAY,
20171107,WORKDAY,立冬
20171108,WORKDAY,
20171109,WORKDAY,
20171110,WORKDAY,
20171111,WEEKEND,
20171112,WEEKEND,
20171113,WORKDAY,
20171114,WORKDAY,
20171115,WORKDAY,
20171116,WORKDAY,
20171117,WORKDAY,
20171118,WEEKEND,寒衣节
20171119,WEEKEND,
20171120,WORKDAY,
20171121,WORKDAY,
20171122,WORKDAY,小雪
20171123,WORKDAY,
20171124,WORKDAY,
20171125,WEEKEND,
20171126,WEEKEND,
20171127,WORKDAY,
20171128,WORKDAY,
20171129,WORKDAY,
20171130,WORKDAY,
20171201,WORKDAY,艾滋病日
20171202,WEEKEND,下元节
20171203,WEEKEND,
20171204,WORKDAY,
20171205,WORKDAY,
20171206,WORKDAY,
20171207,WORKDAY,大雪
20171208,WORKDAY,
20171209,WEEKEND,
20171210,WEEKEND,
20171211,WORKDAY,
20171212,WORKDAY,
20171213,WORKDAY,
20171214,WORKDAY,
20171215,WORKDAY,
20171216,WEEKEND,
20171217,WEEKEND,
20171218,WORKDAY,
20171219,WORKDAY,
20171220,WORKDAY,
20171221,WORKDAY,
20171222,WORKDAY,冬至
20171223,WEEKEND,
20171224,WEEKEND,
20171225,WORKDAY,
20171226,WORKDAY,
20171227,WORKDAY,
20171228,WORKDAY,
20171229,WORKDAY,
20171230,WEEKEND,
20171231,WEEKEND,
20180101,HOLIDAY,元旦
20180102,WORKDAY,
20180103,WORKDAY,
20180104,WORKDAY,
20180105,WORKDAY,
20180106,WEEKEND,
20180107,WEEKEND,
20180108,WORKDAY,
20180109,WORKDAY,
20180110,WORKDAY,
20180111,WORKDAY,
20180112,WORKDAY,
20180113,WEEKEND,
20180114,WEEKEND,
20180115,WORKDAY,
20180116,WORKDAY,
20180117,WORKDAY,
20180118,WORKDAY,
20180119,WORKDAY,
20180120,WEEKEND,
20180121,WEEKEND,
20180122,WORKDAY,
20180123,WORKDAY,
20180124,WORKDAY,腊八节
20180125,WORKDAY,
